id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343522946510417921,1343522946510417921,2020-12-28 14:43:26 Türkiye Standart Saati,2020-12-28,14:43:26,+0300,1707324073,1923nbb,ATA KIZI,,"Yıllar önce konuşmuştu,RTE 'nin konuşmasını izleyin.Insanlar kuru ekmeğe muhtaç oldu.  #asgariucret  https://t.co/5jwSuhNP8x",tr,[],[],[],11,39,94,['asgariucret'],[],https://twitter.com/1923nbb/status/1343522946510417921,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343505740053491713/pu/img/CeSDLhy0E-9JdSPJ.jpg,,,,,,,[],,,,
1343522793342828545,1343522793342828545,2020-12-28 14:42:50 Türkiye Standart Saati,2020-12-28,14:42:50,+0300,821398548,ay_moon_ay,Ayşe Aydoğdu,,"2.825 lira asgari ücret alanlara ""Allah Fakirleri sever. Fakirliginize şükredin"" dedikten sonra, 2 milyon 800 bin liralık Audi A8 Long aracına binip Sahil kenarındaki Villasına doğru yola çıktı.  #asgariucret  https://t.co/v6XP5KtuuR",tr,[],[],['https://pbs.twimg.com/media/EqUm3FEWMAEInJF.jpg'],11,66,213,['asgariucret'],[],https://twitter.com/ay_moon_ay/status/1343522793342828545,False,,1,https://pbs.twimg.com/media/EqUm3FEWMAEInJF.jpg,,,,,,,[],,,,
1343522422285365248,1343522422285365248,2020-12-28 14:41:21 Türkiye Standart Saati,2020-12-28,14:41:21,+0300,1256935539254714370,__murat_asm_,Murat Efendi 🇹🇷,,"Devlet hassas dengeleri de gözeterek gerekli zammı yaptı.  Ben de iş veren olarak üzerime düşeni yapıp, mesai arkadaşlarımın asgari ücretini 3250 TL. Olarak belirliyorum. Devletimiz varolsun.  #asgariucret",tr,[],[],[],49,63,490,['asgariucret'],[],https://twitter.com/__MuraT_ASM_/status/1343522422285365248,False,,0,,,,,,,,[],,,,
1343522405021528064,1343522405021528064,2020-12-28 14:41:17 Türkiye Standart Saati,2020-12-28,14:41:17,+0300,1132163245,hzlandirc,#Katalizör,,"Yabancı ve özel sektörle rekabet edebilen, 18 sene önceki,Tek,Telekom, Tüpraşlarımızi,Madenlerimizi,sekalarımızı,sümer,şeker,tekel vs fabrikalarımızi limanlarımızı istiyoruz. Vergiyi,Parayı yurtdışına kaçıranları ve 2825 TL lik #asgariucret i istemiyoruz #Millet3100Cumhur2825",tr,[],[],[],1,6,17,"['asgariucret', 'millet3100cumhur2825']",[],https://twitter.com/hzlandirc/status/1343522405021528064,False,https://twitter.com/hzlandirc/status/1343516947170942976,0,,,,,,,,[],,,,
1343522351137366017,1343522351137366017,2020-12-28 14:41:04 Türkiye Standart Saati,2020-12-28,14:41:04,+0300,4286530455,politikaloji,Politikaloji🇹🇷,,Adamlar asgari ücrete bu açıdan bakıyor :)  #asgariucret  https://t.co/t2TM4ho48J,tr,[],[],['https://pbs.twimg.com/media/EqUmdPqXIAEhHZL.jpg'],20,20,192,['asgariucret'],[],https://twitter.com/politikaloji/status/1343522351137366017,False,,1,https://pbs.twimg.com/media/EqUmdPqXIAEhHZL.jpg,,,,,,,[],,,,
1343522258199969792,1343522258199969792,2020-12-28 14:40:42 Türkiye Standart Saati,2020-12-28,14:40:42,+0300,1118616053637091328,marlon__inceyus,Marlon ♠️,,Düzce’de karton toplayarak evinin geçimini sağlayan baba 😞... #asgariucret #MemleketHareketi  @vekilince  https://t.co/YXwpOFlAp7,tr,"[{'screen_name': 'vekilince', 'name': 'muharrem i̇nce', 'id': '182317200'}]",[],[],1,23,131,"['asgariucret', 'memlekethareketi']",[],https://twitter.com/Marlon__inceyus/status/1343522258199969792,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343522194060701697/pu/img/4bu0n9thntyeXute.jpg,,,,,,,[],,,,
1343522228693037056,1343522228693037056,2020-12-28 14:40:35 Türkiye Standart Saati,2020-12-28,14:40:35,+0300,1192518363999801344,woowhaber,WOOW HABER,,"◾İzmir Büyükşehir Belediye Başkanı Tunç Soyer, belediyede ve bağlı şirketlerinde çalışan personeller için asgari ücretin net 3 bin 100 TL olacağını açıkladı. #asgariucret  https://t.co/BrcKbghBtx",tr,[],[],['https://pbs.twimg.com/media/EqUmWLTXAAMUR-S.jpg'],1,9,44,['asgariucret'],[],https://twitter.com/woowhaber/status/1343522228693037056,False,,1,https://pbs.twimg.com/media/EqUmWLTXAAMUR-S.jpg,,,,,,,[],,,,
1343522160502050816,1343522160502050816,2020-12-28 14:40:19 Türkiye Standart Saati,2020-12-28,14:40:19,+0300,1142482459147276289,trmyd,TÜRK_ER YILMAZ,,"Cuma konvoyu 👇 Korumalar şöförler araç degerleri vs.. Saymıyorum sadece 2 motosikletli, 1 helikopter,1 zırhlı araç ve 117 lüks araçtan oluşan konvoyun yakıtı kaç #asgariucret eder? #MilletBıktı  https://t.co/S3TUAhOtXc",tr,[],[],[],10,67,147,"['asgariucret', 'milletbıktı']",[],https://twitter.com/Trmyd/status/1343522160502050816,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343522066377674752/pu/img/g9hDXuU-175-zRYa.jpg,,,,,,,[],,,,
1343522133285236736,1343522133285236736,2020-12-28 14:40:12 Türkiye Standart Saati,2020-12-28,14:40:12,+0300,955168342838579202,ekremkocaesk,Ekrem Koca 🇹🇷,,"Bakan Zehra Zümrüt Selçuk: Türkiye, asgari ücretin satın alma gücü bakımından birçok Avrupa ülkesini geride bıraktı. :(  #asgariucret",tr,[],[],[],3,7,31,['asgariucret'],[],https://twitter.com/EkremKocaEsk/status/1343522133285236736,False,,0,,,,,,,,[],,,,
1343522043774558208,1343522043774558208,2020-12-28 14:39:51 Türkiye Standart Saati,2020-12-28,14:39:51,+0300,1168615046336983046,atilla282834,ATİLLA 🇹🇷,,Bir belediye başkanı düşünün belediyesinde çalışanların  #asgariucret 'den daha fazla maaş aldıklarını bilmiyor ... bir de böbürlenerek tweet atıyor....İnşALLAH maaşları 3100 Tl indirmez 😂😂,tr,[],[],[],3,4,15,['asgariucret'],[],https://twitter.com/Atilla282834/status/1343522043774558208,False,,0,,,,,,,,[],,,,
1343521902585925633,1343521902585925633,2020-12-28 14:39:17 Türkiye Standart Saati,2020-12-28,14:39:17,+0300,1579982719,abisayn,#RamazanDnlr,,neye ve kime göre? Gezici Gezmekten (araştırmaya) Vakit Bulamamış Sanırım  #asgariucret İçişleri Bakanlığı #Gerçekler Erkan Tan Ahmet Hakan 90 Kuruş #AcıkAlandaMaskeyeHayır Uğur Dündar O 90                                  @solist4242  https://t.co/OLncJuPpQN,tr,"[{'screen_name': 'solist4242', 'name': 'abisaynn', 'id': '805076889475936256'}]",[],['https://pbs.twimg.com/media/EqUmA5JW8AAu68h.png'],8,29,52,"['asgariucret', 'gerçekler', 'acıkalandamaskeyehayır']",[],https://twitter.com/AbiSayn/status/1343521902585925633,False,,1,https://pbs.twimg.com/media/EqUmA5JW8AAu68h.png,,,,,,,[],,,,
1343521751368687616,1343521751368687616,2020-12-28 14:38:41 Türkiye Standart Saati,2020-12-28,14:38:41,+0300,1041395267222745088,unsalkartal58,#Eyt Unsal KARTAL,,TEŞEKKÜRLER MİLLET İTTİFAKI❗❗ #Millet3100Cumhur2825 #asgariucret  https://t.co/1DO0SqJZtm,tr,[],[],['https://pbs.twimg.com/media/EqUlph0W8AIzwnW.png'],2,21,39,"['millet3100cumhur2825', 'asgariucret']",[],https://twitter.com/unsalkartal58/status/1343521751368687616,False,,1,https://pbs.twimg.com/media/EqUlph0W8AIzwnW.png,,,,,,,[],,,,
1343521512666636290,1343521512666636290,2020-12-28 14:37:44 Türkiye Standart Saati,2020-12-28,14:37:44,+0300,103585610,gulsahince,Gülşah İnce,,#asgariucret  https://t.co/Lm2SlcPa7y,und,[],[],"['https://pbs.twimg.com/media/EqUkk7ZXMAALR93.jpg', 'https://pbs.twimg.com/media/EqUkk7VW4AAP-7S.jpg', 'https://pbs.twimg.com/media/EqUkk7eXEAA6HKD.jpg', 'https://pbs.twimg.com/media/EqUkk7cXIAA4lsA.jpg']",2,16,170,['asgariucret'],[],https://twitter.com/gulsahince/status/1343521512666636290,False,,1,https://pbs.twimg.com/media/EqUkk7ZXMAALR93.jpg,,,,,,,[],,,,
1343521438695895040,1343521438695895040,2020-12-28 14:37:27 Türkiye Standart Saati,2020-12-28,14:37:27,+0300,1869376554,yazi_yorum__,yeniden devam 🇹🇷,,"Gencler siz bilmezsiniz tabi, ak parti'den önce Millet vekilleri #asgariucret alır  İşçiler, milletvekili maaşı  Ah ulan Akparti hep senin yüzünden",tr,[],[],[],2,8,107,['asgariucret'],[],https://twitter.com/Yazi_Yorum__/status/1343521438695895040,False,,0,,,,,,,,[],,,,
1343521376871788544,1343521376871788544,2020-12-28 14:37:12 Türkiye Standart Saati,2020-12-28,14:37:12,+0300,3575916561,mayorofcampus,Üniversite Öğrencisi,,Verilen #asgariucret zam'mı sonrası vatandaş ..  https://t.co/F78AjPXHd5,tr,[],[],[],8,291,1873,['asgariucret'],[],https://twitter.com/mayorofcampus/status/1343521376871788544,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343521330357022720/pu/img/jtO7HAocBCsSYb5m.jpg,,,,,,,[],,,,
1343521334081544193,1343521334081544193,2020-12-28 14:37:02 Türkiye Standart Saati,2020-12-28,14:37:02,+0300,927380143,haceraygnparlt,T.C Hacer Aygūn,,"Yiğidi, yine kuru soğana muhtaç ettiler #asgariucret",tr,[],[],[],1,3,11,['asgariucret'],[],https://twitter.com/haceraygnparlt/status/1343521334081544193,False,,0,,,,,,,,[],,,,
1343521306290106368,1343521306290106368,2020-12-28 14:36:55 Türkiye Standart Saati,2020-12-28,14:36:55,+0300,1138039371855253505,eminesultan67,Emine,,Peki şimdi ne değişti  ❓ Keşke bugünleri aklınıza getirseydiniz 😔 #Millet3100Cumhur2825 #asgariucret  https://t.co/YTg3iuUCNO,tr,[],[],[],35,131,348,"['millet3100cumhur2825', 'asgariucret']",[],https://twitter.com/eminesultan67/status/1343521306290106368,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343521017281597440/pu/img/uaCiSBOCohIU-qH0.jpg,,,,,,,[],,,,
1343521166435229696,1343521166435229696,2020-12-28 14:36:22 Türkiye Standart Saati,2020-12-28,14:36:22,+0300,79574414,alimahir,Ali Mahir Başarır,,"Yıl 2021:  1 Çay:3 TL 1 Simit:2 TL  5 kişilik bir ailenin aylık çay-simit masrafı:2250 TL   #asgariucret :2825 TL   Aradaki 575 TL ile insanlar evin kirasını mı,elektrik-doğalgazı mı ödesin?  Simit-çay hesabıyla geldiniz,günlük 10 milyon TL gideri olan ‘Saray’ınızla gideceksiniz!  https://t.co/BLSf217ofy",tr,[],[],[],79,386,1705,['asgariucret'],[],https://twitter.com/alimahir/status/1343521166435229696,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1343521007529820160/pu/img/dq1qpGcNQ7aW7sgu.jpg,,,,,,,[],,,,
1343520954744516609,1343520954744516609,2020-12-28 14:35:31 Türkiye Standart Saati,2020-12-28,14:35:31,+0300,808378270152556544,celebi_kahraman,K.ÇELEBİ,,Harca harca bitmez  #asgariucret #Millet3100Cumhur2825,tr,[],[],[],2,11,20,"['asgariucret', 'millet3100cumhur2825']",[],https://twitter.com/celebi_kahraman/status/1343520954744516609,False,https://twitter.com/Armagan_caglaya/status/1343478231446540288,0,,,,,,,,[],,,,
1343520679577194497,1343520679577194497,2020-12-28 14:34:26 Türkiye Standart Saati,2020-12-28,14:34:26,+0300,817835575537467392,sevda16666,SevdamizAtaturk🇹🇷,,"Ben artık suna inandım mallık bulaşıcı bir hastalık.  Kardeşim #asgariucret maaş alan sensin,sen evini geçindirmek zorundasın. Ben senin hakkını savunuyorum ,susmuyorum. Senin için mücadele ediyorum. Üstüne de elli tane laf işitiyorum. Müstehak diyemiyorum Şu vicdanıma tukureyim.",tr,[],[],[],2,3,20,['asgariucret'],[],https://twitter.com/Sevda16666/status/1343520679577194497,False,,0,,,,,,,,[],,,,
1343520211463512064,1343520211463512064,2020-12-28 14:32:34 Türkiye Standart Saati,2020-12-28,14:32:34,+0300,1239982055976566788,xatunakurdan,XATUNA KURDAN,,1 Ocak 2021 itibariyle yeni maaşlar;  Cumhurbaşkanı             : 88.000 ₺ Emekli Cumhurbaşkanı : 35.200 ₺ Emekli Başbakanlar       : 26.400 ₺ Emekli Milletvekilleri     : 15.210 ₺ Asgari ücret                  : 2.825.90 ₺  #asgariucret 90 Kuruş O 90,tr,[],[],[],5,23,252,['asgariucret'],[],https://twitter.com/XatunaKurdan/status/1343520211463512064,False,,0,,,,,,,,[],,,,
1343520038112940032,1343520038112940032,2020-12-28 14:31:53 Türkiye Standart Saati,2020-12-28,14:31:53,+0300,1284231371754528779,seymatolunay,Şeyma Tolunay,,Gizlenen ihalelerin 1.37 milyar TL’si Cengiz Holding'e gitmiş: 40.5 milyar TL'nin ise kimlere gittiği açıklanmadı #asgariucret #AsgariUEcret4000 #asgari #pazartesi  https://t.co/pUqMHubx7y,tr,[],[],['https://pbs.twimg.com/media/EqUkWp-XcAUoQkz.jpg'],1,4,32,"['asgariucret', 'asgariuecret4000', 'asgari', 'pazartesi']",[],https://twitter.com/SeymaTolunay/status/1343520038112940032,False,,1,https://pbs.twimg.com/media/EqUkWp-XcAUoQkz.jpg,,,,,,,[],,,,
